id,original_path,repo_path,filename,extension,size_bytes,file_role,repo_status,git_blob_sha,classification_status,ocr_document_text,ocr_scene_text,rights,attribution,notes
urbanek-ceske-slovo-001,Články z Českého slova/1  Články jsou z období od 1. 10. 1938 do 31. 10. 1938.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/1  Články jsou z období od 1. 10. 1938 do 31. 10. 1938.jpg,1  Články jsou z období od 1. 10. 1938 do 31. 10. 1938.jpg,jpg,558806,image,repo_verified,e112c74438dee6da27e01860f93f4e584ccee8ee,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-002,"Články z Českého slova/2   Obsah Mnichovské dohody, otázka požadavků Polska měla být řešena později, viz Dodatková prohlášení.jpg","sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/2   Obsah Mnichovské dohody, otázka požadavků Polska měla být řešena později, viz Dodatková prohlášení.jpg","2   Obsah Mnichovské dohody, otázka požadavků Polska měla být řešena později, viz Dodatková prohlášení.jpg",jpg,1529487,image,repo_verified,afba0f84ea7a1ca327bb9fd5cad9607876f35898,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-003,Články z Českého slova/2a  K dohodě s polskem mělo dojít do tří měsíců ( v  rámci vídeňské arbitráže).jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/2a  K dohodě s polskem mělo dojít do tří měsíců ( v  rámci vídeňské arbitráže).jpg,2a  K dohodě s polskem mělo dojít do tří měsíců ( v  rámci vídeňské arbitráže).jpg,jpg,941218,image,repo_verified,84d1a3f00a64e472d63d6faf995dfeeba720e6dd,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-004,Články z Českého slova/3  další  texty bez komentáře.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/3  další  texty bez komentáře.jpg,3  další  texty bez komentáře.jpg,jpg,969462,image,repo_verified,5581e87d01a85a31aefe7acc790b4e1a0b82c9d3,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-005,Články z Českého slova/4.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/4.jpg,4.jpg,jpg,589276,image,repo_verified,ea31298078b910e1ea6493269174c03e5ed86593,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-006,Články z Českého slova/5.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/5.jpg,5.jpg,jpg,677381,image,repo_verified,bb352928ab9a1e64c1ba8cf066aec5b11bc12db6,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-007,Články z Českého slova/6.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/6.jpg,6.jpg,jpg,424003,image,repo_verified,8a72ca68bd21c1df64bc095850a6f82974b24b06,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-008,Články z Českého slova/7.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/7.jpg,7.jpg,jpg,735983,image,repo_verified,55ddaea4decac95cb132f2f8487e18afb6a3d941,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-009,Články z Českého slova/8.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/8.jpg,8.jpg,jpg,516803,image,repo_verified,e12b159db5ec196f896256648257677a31e57720,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
urbanek-ceske-slovo-010,Články z Českého slova/9.jpg,sources/osobni-archiv-jaromira-urbanka/Články z Českého slova/9.jpg,9.jpg,jpg,775072,image,repo_verified,7ce29cfce3b84608072257d4d986cb1264726224,pending,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,
