id,source_path,repo_path,filename,mime_type,size_bytes,repo_status,git_blob_sha,drive_file_id,drive_url,classification
urbanek-den-po-desti-001,fotodokument/den po dešti/P1020840.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1020840.JPG,P1020840.JPG,image/jpeg,1964110,repo_verified,2afe8856455759e64d8e9d73c5c16214a58fb6c0,,,pending_visual_classification
urbanek-den-po-desti-002,fotodokument/den po dešti/P1020842.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1020842.JPG,P1020842.JPG,image/jpeg,3598219,repo_verified,be0aa4a882e3a296c2f0f1236c2e555701aad1f5,,,pending_visual_classification
urbanek-den-po-desti-003,fotodokument/den po dešti/P1020843.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1020843.JPG,P1020843.JPG,image/jpeg,3542304,repo_verified,04930e53d1d8e3ad54ed2424b94502cb3165296a,,,pending_visual_classification
urbanek-den-po-desti-004,fotodokument/den po dešti/P1020844.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1020844.JPG,P1020844.JPG,image/jpeg,3477921,repo_verified,a6ca97196fb9ea41ab635b60bbe0cac4f7a90fe6,,,pending_visual_classification
urbanek-den-po-desti-005,fotodokument/den po dešti/P1020845.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1020845.JPG,P1020845.JPG,image/jpeg,3262568,repo_verified,acdfb4baa79e9617f1ffebf46d846f2cdb8c3055,,,pending_visual_classification
urbanek-den-po-desti-006,fotodokument/den po dešti/P1020846.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1020846.JPG,P1020846.JPG,image/jpeg,3582165,repo_verified,031eb028ce17a196ebbe031b59929d73d9031649,,,pending_visual_classification
urbanek-den-po-desti-007,fotodokument/den po dešti/P1020847.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1020847.JPG,P1020847.JPG,image/jpeg,3510002,repo_verified,af4eda057f7e62df1c2c5358390c6ee4036e437d,,,pending_visual_classification
urbanek-den-po-desti-008,fotodokument/den po dešti/P1040200.JPG,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/P1040200.JPG,P1040200.JPG,image/jpeg,3552746,repo_verified,83de6634c5cf0a9a9d0da5dbdbc90ff5125296fb,,,pending_visual_classification
urbanek-den-po-desti-009,fotodokument/den po dešti/Thumbs.db,,Thumbs.db,application/octet-stream,32256,drive_listed_repo_missing,,1joMySTiQFy1cY3TKzYHavHseDPfJ3oLx,https://drive.google.com/file/d/1joMySTiQFy1cY3TKzYHavHseDPfJ3oLx/view?usp=drivesdk,technical_thumbnail_cache
urbanek-den-po-desti-010,fotodokument/den po dešti/ZbThumbnail.info,sources/osobni-archiv-jaromira-urbanka/fotodokument/den po dešti/ZbThumbnail.info,ZbThumbnail.info,application/octet-stream,56448,repo_verified,21cc0d964c1f5acb5ce3b55be6926af3521fbc55,,,technical_thumbnail_cache
