id,original_path,filename,extension,git_blob_sha,collection,file_role,ocr_document_text,ocr_scene_text,rights,attribution,status,notes
urbanek-mlyny-001,Rychvaldské větrné mlýny/P1010663.JPG,P1010663.JPG,JPG,2e8e502643ae3abb503f271dbdc50fc20a033ea8,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-002,Rychvaldské větrné mlýny/P1010662.JPG,P1010662.JPG,JPG,306c6aa562a3673ad087ca78725d4e026371e032,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-003,Rychvaldské větrné mlýny/P1010661.JPG,P1010661.JPG,JPG,c75dbcdddfbba31ca73eea604a7182d458f63105,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-004,Rychvaldské větrné mlýny/P1010447.jpg,P1010447.jpg,jpg,2a90ce57d546250d2bca7aec18a29c492e8a5fe0,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-005,Rychvaldské větrné mlýny/P1010446.jpg,P1010446.jpg,jpg,62e7c4585a41f269ebf3dbe3296e71ddcd4aad35,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-006,Rychvaldské větrné mlýny/P1010445.jpg,P1010445.jpg,jpg,47b6eeb570223685ec461aa5fef1df2289800615,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-007,Rychvaldské větrné mlýny/mlýn na podlesí.JPG,mlýn na podlesí.JPG,JPG,43b5b094dc38142c4dd7215b806c7d846db74b2b,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-008,Rychvaldské větrné mlýny/Potoční 564.jpg,Potoční 564.jpg,jpg,9b8fda0fa4db4afa04c59e2287bf26a36b051166,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-009,Rychvaldské větrné mlýny/Thumbs.db,Thumbs.db,db,,Rychvaldské větrné mlýny,technical_thumbnail_cache,not_applicable,not_applicable,unknown,Z osobního archivu p. Jaromíra Urbánka.,drive_listed_repo_missing,"Ponechat pro případnou další analýzu; soubor je na Google Drivu, ale při auditu nebyl nalezen v GitHub větvi."
urbanek-mlyny-010,Rychvaldské větrné mlýny/Větrný mlýn.jpg,Větrný mlýn.jpg,jpg,4678910ed910689b9d7b8fd4eca61340c32dd04b,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-011,Rychvaldské větrné mlýny/obrazek mlyn bez ramecku.jpg,obrazek mlyn bez ramecku.jpg,jpg,c597cbea1f7557dfe144a9c26eb02bf18693da0e,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,Přesná binární duplicita s urbanek-mlyny-021.
urbanek-mlyny-012,Rychvaldské větrné mlýny/Kakalův mlýn.jpg,Kakalův mlýn.jpg,jpg,7a746e9bcf23a8e2a5fc49eafa2dc58658be9d7a,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,Přesná binární duplicita s urbanek-mlyny-022 a urbanek-mlyny-039.
urbanek-mlyny-013,Rychvaldské větrné mlýny/větrný mlýn u hebdy/P1010447.JPG,P1010447.JPG,JPG,eddcb6fdfc76dca1fb6649e81bbbb5f0bd2a1fa2,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-014,Rychvaldské větrné mlýny/větrný mlýn u hebdy/P1010446.JPG,P1010446.JPG,JPG,f628292a36ed1b495267bffb081561215c91c800,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-015,Rychvaldské větrné mlýny/větrný mlýn u hebdy/P1010445.JPG,P1010445.JPG,JPG,0c58e9cad36593dc2a4f4860c8f5ddc2e7546904,Rychvaldské větrné mlýny,image,pending,pending,unknown,Z osobního archivu p. Jaromíra Urbánka.,repo_verified,
urbanek-mlyny-016,Rychvaldské větrné mlýny/větrný mlýn u hebdy/Thumbs.db,Thumbs.db,db,,Rychvaldské větrné mlýny,technical_thumbnail_cache,not_applicable,not_applicable,unknown,Z osobního archivu p. Jaromíra Urbánka.,drive_listed_repo_missing,"Ponechat pro případnou další analýzu; soubor je na Google Drivu, ale při auditu nebyl nalezen v GitHub větvi."
